date,open,high,low,close,vol,amount,change%,turnover%,change,amplitude%
2026-02-25,16.5,16.91,16.47,16.66,344575,576477525.0,1.22,2.83,0.2,
2026-02-26,16.71,16.81,16.57,16.64,256836,428266648.0,-0.12,2.11,-0.02,
2026-02-27,16.57,17.0,16.52,17.0,352444,593517892.0,2.16,2.89,0.36,
2026-03-02,17.0,17.21,16.72,17.17,417299,709298686.0,1.0,3.43,0.17,
2026-03-03,17.13,17.4,16.6,16.63,483436,815754374.0,-3.15,3.97,-0.54,
2026-03-04,16.55,17.15,16.53,17.09,553854,941895996.0,2.77,4.55,0.46,
2026-03-05,17.38,17.52,17.17,17.29,492860,853385042.0,1.17,4.05,0.2,
2026-03-06,17.01,17.02,16.65,16.79,379345,638300579.0,-2.89,3.11,-0.5,
2026-03-09,16.88,17.09,16.45,16.69,394118,658618244.0,-0.6,3.24,-0.1,
2026-03-10,16.56,16.74,16.47,16.51,316221,523645914.0,-1.08,2.6,-0.18,
2026-03-11,16.55,16.69,16.47,16.64,268862,445822091.0,0.79,2.21,0.13,
2026-03-12,16.65,17.11,16.65,16.87,385966,652356293.0,1.38,3.17,0.23,
2026-03-13,16.78,17.05,16.52,16.55,354261,593518509.0,-1.9,2.91,-0.32,
2026-03-16,16.59,16.68,15.95,16.13,322024,520595457.0,-2.54,2.64,-0.42,
2026-03-17,16.2,16.32,15.9,15.98,226793,365856025.0,-0.93,1.86,-0.15,
2026-03-18,15.94,16.0,15.56,15.67,268211,421258855.0,-1.94,2.2,-0.31,
2026-03-19,15.44,15.46,14.94,14.99,327867,496925062.0,-4.34,2.69,-0.68,
2026-03-20,14.98,15.26,14.86,14.87,245674,369837909.0,-0.8,2.02,-0.12,
2026-03-23,14.5,14.66,13.97,14.05,310941,444476383.0,-5.51,2.55,-0.82,
2026-03-24,14.25,14.58,14.0,14.54,246648,352008220.0,3.49,2.03,0.49,
2026-03-25,14.73,14.9,14.68,14.75,214543,317059612.0,1.44,1.76,0.21,
2026-03-26,14.75,14.97,14.67,14.7,178497,264018732.0,-0.34,1.47,-0.05,
2026-03-27,14.52,15.06,14.46,15.0,170401,253700651.0,2.04,1.4,0.3,
2026-03-30,15.61,15.88,15.23,15.85,582506,908734833.0,5.67,4.78,0.85,
2026-03-31,15.65,15.76,15.16,15.24,362933,556450633.0,-3.85,2.98,-0.61,
2026-04-01,15.4,15.47,15.21,15.25,195235,298996490.0,0.07,1.6,0.01,
2026-04-02,15.4,15.47,15.03,15.06,203239,310120668.0,-1.25,1.67,-0.19,
2026-04-03,15.05,15.25,14.86,15.07,159496,239354171.0,0.07,1.31,0.01,
2026-04-07,15.29,15.66,15.26,15.64,313301,485845710.0,3.78,2.57,0.57,
2026-04-08,15.8,16.42,15.8,16.24,435384,702166774.0,3.84,3.57,0.6,
2026-04-09,17.1,17.86,17.09,17.66,1622567,2839290439.0,8.74,13.32,1.42,
2026-04-10,17.97,18.08,17.18,17.21,835323,1464818002.0,-2.55,6.86,-0.45,
2026-04-13,17.06,17.3,16.91,17.05,452069,771849637.0,-0.93,3.71,-0.16,
2026-04-14,17.35,17.48,17.11,17.25,378134,653248685.0,1.17,3.1,0.2,
2026-04-15,17.18,17.32,17.09,17.14,295231,507860603.0,-0.64,2.42,-0.11,
2026-04-16,17.25,17.96,17.25,17.68,407002,719499062.0,3.15,3.34,0.54,
2026-04-17,17.6,17.83,17.5,17.58,321041,565324579.0,-0.57,2.64,-0.1,
2026-04-20,17.44,17.45,17.18,17.43,322568,559611265.0,-0.85,2.65,-0.15,
2026-04-21,17.52,18.43,17.27,18.22,823407,1483597139.0,4.53,6.76,0.79,
2026-04-22,18.21,18.86,18.16,18.46,621068,1152894350.0,1.32,5.1,0.24,
2026-04-23,18.55,18.61,17.91,18.05,387009,701131693.0,-2.22,3.18,-0.41,
2026-04-24,17.98,18.49,17.85,18.23,364732,663020995.0,1.0,2.99,0.18,
2026-04-27,18.02,18.24,17.87,18.07,401810,724865674.0,-0.88,3.3,-0.16,
2026-04-28,18.0,18.02,17.43,17.5,387322,683417166.0,-3.15,3.18,-0.57,
2026-04-29,17.42,17.98,17.39,17.93,289266,512648838.0,2.46,2.37,0.43,
2026-04-30,17.7,17.92,17.36,17.75,386108,680634665.0,-1.0,3.17,-0.18,
2026-05-06,17.92,18.02,17.64,17.83,405518,720598587.0,0.45,3.33,0.08,
2026-05-07,17.82,17.85,17.44,17.58,330641,581535264.0,-1.4,2.71,-0.25,
2026-05-08,17.45,17.59,17.08,17.36,361194,625467046.0,-1.25,2.97,-0.22,
2026-05-11,17.59,18.26,17.58,18.03,533312,952908427.0,3.86,4.38,0.67,
2026-05-12,18.03,18.19,17.69,17.99,372553,667021659.0,-0.22,3.06,-0.04,
2026-05-13,17.94,18.15,17.66,17.87,265105,473238634.0,-0.67,2.18,-0.12,
2026-05-14,17.84,18.18,17.58,17.6,280337,500301599.0,-1.51,2.3,-0.27,
2026-05-15,17.5,17.63,16.9,17.02,399456,685552080.0,-3.3,3.28,-0.58,
2026-05-18,16.73,17.08,16.52,16.95,286384,480795151.0,-0.41,2.3,-0.07,
2026-05-19,16.94,17.66,16.82,17.6,384278,662570021.0,3.83,3.09,0.65,
2026-05-20,17.91,18.48,17.88,18.33,695961,1265439115.0,4.15,5.6,0.73,
2026-05-21,18.35,19.04,18.0,18.0,627616,1164660648.0,-1.8,5.05,-0.33,
2026-05-22,18.5,19.7,18.22,19.21,714620,1369353447.0,6.72,5.75,1.21,
2026-05-25,19.5,19.68,18.8,19.16,520982,999891077.0,-0.26,4.19,-0.05,
2026-05-26,19.0,19.91,18.85,19.62,700889,1361008203.0,2.4,5.64,0.46,
