代码,名称,综合评分,动量分,技术分,基本面分,量能分,风险分,板块,已持仓
601677,明泰铝业,65.3,62.0,73.5,60.0,70.0,72.0,有色金属、工业金属,True
002371,北方华创,65.3,92.0,56.5,55.0,60.0,64.0,其他,False
605018,长华集团,65.2,69.0,70.5,50.0,77.5,72.0,其他,False
603990,麦迪科技,65.2,80.3,66.5,45.0,70.0,72.0,其他,False
002384,东山精密,65.2,88.5,58.5,65.0,55.0,56.0,印制电路板,False
002606,大连电瓷,65.1,83.4,56.5,70.0,65.0,52.0,其他,False
601566,九牧王,65.1,69.1,62.5,55.0,85.0,72.0,其他,False
600888,新疆众和,65.0,88.2,62.5,30.0,85.0,72.0,有色金属、工业金属,False
603068,博通集成,64.9,55.6,70.5,70.0,70.0,72.0,其他,False
605303,园林股份,64.9,100.0,62.5,25.0,85.0,56.0,其他,False
000716,黑芝麻,64.9,57.5,65.5,70.0,85.0,64.0,其他,False
603439,三力制药,64.5,87.4,57.5,40.0,85.0,64.0,其他,False
002952,亚世光电,64.5,67.2,73.5,60.0,70.0,56.0,其他,False
600885,宏发股份,64.5,71.9,66.5,55.0,65.0,72.0,新能源汽车,False
603800,洪田股份,64.4,95.5,56.5,35.0,77.5,64.0,其他,False
605500,森林包装,64.3,90.4,53.5,35.0,85.0,72.0,其他,False
600172,黄河旋风,64.3,88.3,58.5,60.0,55.0,56.0,激光设备,False
000962,东方钽业,64.2,88.4,66.5,35.0,70.0,64.0,其他,False
000636,风华高科,64.2,100.0,53.5,55.0,40.0,64.0,元件,False
000404,长虹华意,63.9,86.9,66.5,35.0,70.0,64.0,其他,False
000657,中钨高新,63.8,63.8,56.5,85.0,65.0,56.0,有色金属,False
600584,长电科技,63.8,100.0,53.5,35.0,77.5,56.0,其他,False
605358,立昂微,63.8,86.0,60.5,60.0,65.0,44.0,其他,False
600310,广西能源,63.8,79.3,68.5,50.0,65.0,56.0,其他,False
002775,文科股份,63.7,55.8,61.5,70.0,77.5,72.0,其他,False
603989,艾华集团,63.7,100.0,53.5,25.0,85.0,64.0,元件、被动元件,False
001326,联域股份,63.6,80.5,52.5,55.0,77.5,64.0,其他,False
603375,盛景微,63.5,93.3,66.5,25.0,70.0,64.0,其他,False
002786,银宝山新,63.4,62.0,70.5,65.0,60.0,64.0,其他,False
002008,大族激光,63.4,82.1,48.5,70.0,65.0,56.0,激光设备,False
002993,奥海科技,63.3,96.6,62.5,20.0,77.5,64.0,其他,False
002272,川润股份,63.3,98.2,57.5,20.0,85.0,64.0,其他,False
603012,创力集团,63.3,77.0,74.0,35.0,70.0,64.0,其他,False
000021,深科技,63.2,82.2,60.5,45.0,70.0,64.0,其他,False
603373,安邦护卫,63.2,80.5,62.5,40.0,77.5,64.0,其他,False
002678,珠江钢琴,63.1,55.6,85.0,45.0,65.0,72.0,其他,False
002281,光迅科技,63.1,89.9,60.5,65.0,55.0,32.0,其他,False
603067,振华股份,63.0,81.8,66.5,45.0,65.0,56.0,其他,False
603001,奥康国际,62.9,79.9,54.5,45.0,85.0,64.0,其他,False
603228,景旺电子,62.9,94.9,66.5,25.0,70.0,56.0,印制电路板,False
603976,正川股份,62.9,79.3,62.5,30.0,85.0,72.0,其他,False
003030,祖名股份,62.8,71.3,60.5,60.0,65.0,64.0,其他,False
000417,合百集团,62.8,94.7,66.5,10.0,85.0,64.0,其他,False
603919,金徽酒,62.8,67.7,77.5,35.0,77.5,64.0,其他,False
600460,士兰微,62.8,70.9,70.5,40.0,77.5,64.0,其他,False
603938,三孚股份,62.7,87.4,60.5,65.0,70.0,20.0,其他,False
600969,郴电国际,62.7,60.0,73.0,50.0,77.5,64.0,其他,False
002138,顺络电子,62.7,86.4,62.5,30.0,77.5,64.0,元件,False
600578,京能电力,62.3,97.3,53.5,35.0,70.0,56.0,其他,False
601021,春秋航空,62.3,42.8,61.5,75.0,85.0,72.0,其他,False
