代码,名称,综合评分,动量分,技术分,基本面分,量能分,风险分,板块,已持仓
603505,金石资源,48.1,55.8,63.5,20.0,52.5,40.0,其他,False
600206,有研新材,48.1,63.3,46.5,50.0,32.5,32.0,有色金属、金属新材料,False
600377,宁沪高速,48.0,42.6,46.5,30.0,55.0,80.0,其他,False
600361,创新新材,48.0,35.4,52.5,45.0,55.0,60.0,其他,False
600630,龙头股份,48.0,34.6,40.5,55.0,65.0,60.0,其他,False
603991,至正股份,48.0,42.1,46.5,65.0,42.5,40.0,其他,False
002048,宁波华翔,48.0,43.4,63.0,5.0,77.5,64.0,其他,False
002591,恒大高新,48.0,51.2,46.5,65.0,32.5,32.0,其他,False
001257,盛龙股份,47.9,50.0,55.5,45.0,47.5,32.0,其他,False
001872,招商港口,47.9,48.1,46.5,45.0,40.0,60.0,其他,False
000559,万向钱潮,47.9,39.1,73.5,10.0,55.0,64.0,其他,False
601838,成都银行,47.9,47.8,46.5,40.0,40.0,68.0,其他,False
000060,中金岭南,47.8,53.4,46.5,60.0,47.5,20.0,有色金属,False
001330,博纳影业,47.8,33.6,60.5,35.0,65.0,52.0,其他,False
002015,协鑫能科,47.8,66.4,46.5,40.0,40.0,32.0,其他,False
601702,华峰铝业,47.8,38.3,61.5,20.0,77.5,52.0,有色金属、工业金属,False
001270,铖昌科技,47.8,44.2,46.5,70.0,50.0,20.0,其他,False
600758,辽宁能源,47.8,61.9,67.5,20.0,37.5,32.0,其他,False
603345,安井食品,47.8,42.9,45.5,70.0,37.5,36.0,其他,False
603327,福蓉科技,47.7,39.1,42.5,65.0,32.5,60.0,其他,False
601878,浙商证券,47.7,33.3,41.5,70.0,30.0,68.0,其他,False
600292,电投水电,47.6,33.2,56.5,40.0,77.5,40.0,其他,False
600694,大商股份,47.6,43.4,46.5,45.0,47.5,60.0,其他,False
002213,大为股份,47.6,59.5,46.5,60.0,32.5,20.0,其他,False
601166,兴业银行,47.6,35.7,57.0,25.0,65.0,68.0,其他,False
600619,海立股份,47.6,36.0,51.0,65.0,42.5,40.0,其他,False
000049,德赛电池,47.6,35.9,52.5,55.0,47.5,48.0,其他,False
002414,高德红外,47.6,29.3,46.5,80.0,32.5,48.0,其他,False
603685,晨丰科技,47.6,49.2,46.5,40.0,65.0,40.0,其他,False
002388,新亚制程,47.6,40.2,46.5,55.0,37.5,60.0,其他,False
000899,赣能股份,47.6,49.8,46.5,50.0,47.5,40.0,其他,False
600615,鑫源智造,47.5,45.0,61.5,5.0,77.5,60.0,有色金属,False
000807,云铝股份,47.5,34.7,40.5,80.0,55.0,28.0,有色金属、工业金属,False
600655,豫园股份,47.5,32.2,44.5,50.0,70.0,56.0,有色金属,False
002226,江南化工,47.5,45.7,55.5,25.0,77.5,40.0,其他,False
603051,鹿山新材,47.5,42.2,46.5,35.0,65.0,60.0,其他,False
605016,百龙创园,47.5,27.1,46.5,85.0,50.0,28.0,其他,False
600572,康恩贝,47.4,31.0,44.5,60.0,55.0,56.0,其他,False
603032,德新科技,47.4,44.8,46.5,75.0,37.5,20.0,其他,False
603306,华懋科技,47.4,55.7,58.5,10.0,47.5,64.0,其他,False
000958,电投产融,47.4,37.5,55.5,40.0,47.5,60.0,其他,False
600446,金证股份,47.4,36.8,67.5,40.0,32.5,52.0,其他,False
601108,财通证券,47.4,30.4,53.5,70.0,30.0,48.0,其他,False
002921,联诚精密,47.4,53.8,46.5,60.0,42.5,20.0,其他,False
002284,亚太股份,47.3,25.9,57.0,55.0,65.0,40.0,其他,False
002810,山东赫达,47.3,47.1,46.5,65.0,47.5,20.0,其他,False
000333,美的集团,47.3,37.5,58.5,40.0,40.0,60.0,其他,False
603276,恒兴新材,47.3,37.1,46.5,70.0,30.0,48.0,其他,False
601199,江南水务,47.2,49.3,46.5,30.0,65.0,52.0,其他,False
603928,兴业股份,47.2,41.1,46.5,55.0,32.5,60.0,其他,False
001269,欧晶科技,47.1,52.5,48.5,5.0,85.0,60.0,其他,False
001335,信凯科技,47.1,43.8,63.5,20.0,47.5,60.0,其他,False
002516,旷达科技,47.1,36.6,46.5,60.0,32.5,60.0,其他,False
601100,恒立液压,47.1,43.3,63.5,40.0,37.5,40.0,其他,False
603013,亚普股份,47.1,35.4,55.5,50.0,32.5,60.0,其他,False
603162,海通发展,47.1,55.0,39.0,65.0,32.5,32.0,其他,False
601700,风范股份,47.1,40.1,39.0,65.0,32.5,60.0,其他,False
000571,新大洲A,47.1,38.5,61.5,40.0,47.5,44.0,其他,False
600116,三峡水利,47.1,38.2,46.5,55.0,37.5,60.0,其他,False
002527,新时达,47.0,37.8,61.5,25.0,55.0,60.0,其他,False
002937,兴瑞科技,47.0,54.5,58.5,30.0,40.0,40.0,其他,False
000701,厦门信达,47.0,39.3,46.5,50.0,42.5,60.0,其他,False
001212,中旗新材,47.0,51.0,46.5,50.0,40.0,40.0,其他,False
001267,汇绿生态,47.0,76.6,46.5,35.0,32.5,20.0,其他,False
002030,达安基因,47.0,52.9,55.5,40.0,55.0,20.0,其他,False
603669,灵康药业,47.0,34.2,44.5,70.0,37.5,48.0,其他,False
600305,恒顺醋业,47.0,34.2,41.5,50.0,55.0,68.0,其他,False
002135,东南网架,47.0,74.7,58.5,5.0,47.5,32.0,其他,False
600535,天士力,46.9,35.1,45.5,65.0,32.5,56.0,其他,False
002948,青岛银行,46.9,42.7,46.5,50.0,47.5,48.0,其他,False
603139,康惠股份,46.9,60.9,46.5,30.0,37.5,52.0,其他,False
600509,天富能源,46.9,63.4,55.5,10.0,55.0,44.0,其他,False
000509,华塑控股,46.9,55.9,55.5,5.0,70.0,52.0,其他,False
603786,科博达,46.9,34.5,61.5,25.0,70.0,52.0,其他,False
600184,光电股份,46.9,54.2,46.5,55.0,32.5,32.0,其他,False
000421,南京公用,46.8,32.4,55.5,60.0,32.5,48.0,其他,False
600927,永安期货,46.8,33.8,46.5,70.0,32.5,48.0,其他,False
600150,中国船舶,46.8,41.9,46.5,65.0,32.5,40.0,其他,False
600037,歌华有线,46.8,34.3,46.5,65.0,40.0,48.0,其他,False
600980,北矿科技,46.8,32.8,46.5,60.0,37.5,60.0,磁性材料、金属新材料,False
601916,浙商银行,46.8,38.2,46.5,40.0,37.5,80.0,其他,False
003000,劲仔食品,46.8,35.2,46.5,60.0,32.5,60.0,其他,False
605098,行动教育,46.8,29.3,53.5,80.0,32.5,28.0,其他,False
002735,王子新材,46.8,29.5,44.5,50.0,65.0,60.0,其他,False
600483,福能股份,46.8,55.6,48.5,10.0,55.0,72.0,其他,False
605117,德业股份,46.7,26.2,46.5,95.0,37.5,20.0,其他,False
000581,威孚高科,46.7,37.9,55.5,40.0,40.0,60.0,其他,False
601992,金隅集团,46.7,35.9,57.0,5.0,85.0,72.0,其他,False
601298,青岛港,46.7,36.3,46.5,50.0,37.5,68.0,其他,False
002755,奥赛康,46.7,41.7,42.5,50.0,65.0,40.0,其他,False
600900,长江电力,46.7,38.5,46.5,50.0,32.5,68.0,其他,False
603683,晶华新材,46.6,40.6,46.5,60.0,32.5,48.0,其他,False
000680,山推股份,46.6,33.2,46.5,75.0,32.5,40.0,其他,False
601827,三峰环境,46.6,36.2,44.5,35.0,65.0,68.0,其他,False
002240,盛新锂能,46.5,47.0,46.5,70.0,32.5,20.0,其他,False
605258,协和电子,46.5,43.9,56.5,20.0,65.0,52.0,其他,False
002301,齐心集团,46.5,64.4,52.5,5.0,55.0,52.0,其他,False
601997,贵阳银行,46.5,41.9,42.5,45.0,40.0,68.0,其他,False
002428,云南锗业,46.5,74.3,46.5,35.0,32.5,20.0,其他,False
601033,永兴股份,46.5,36.3,46.5,60.0,32.5,56.0,其他,False
000036,华联控股,46.5,38.8,46.5,80.0,25.0,28.0,其他,False
002513,蓝丰生化,46.4,34.1,46.5,55.0,40.0,60.0,其他,False
000802,北京文化,46.4,46.8,67.5,35.0,32.5,32.0,其他,False
000553,安道麦A,46.4,42.5,46.5,70.0,32.5,28.0,其他,False
601880,辽港股份,46.4,38.1,34.5,55.0,47.5,68.0,其他,False
601231,环旭电子,46.4,39.7,56.5,35.0,70.0,32.0,其他,False
000737,北方铜业,46.4,31.0,46.5,80.0,40.0,28.0,其他,False
603236,移远通信,46.4,33.0,61.5,30.0,65.0,48.0,其他,False
603966,法兰泰克,46.4,29.0,53.5,70.0,37.5,36.0,其他,False
000593,德龙汇能,46.4,74.2,46.5,35.0,32.5,20.0,其他,False
600000,浦发银行,46.3,30.9,49.5,40.0,55.0,68.0,其他,False
600985,淮北矿业,46.3,47.5,56.5,5.0,85.0,48.0,其他,False
603069,海汽集团,46.3,46.1,52.5,5.0,70.0,72.0,其他,False
605339,南侨食品,46.3,47.3,58.5,5.0,55.0,72.0,其他,False
002563,森马服饰,46.3,42.1,43.5,65.0,25.0,48.0,其他,False
603538,美诺华,46.3,40.6,53.5,65.0,37.5,20.0,其他,False
605177,东亚药业,46.3,40.6,55.5,40.0,40.0,52.0,其他,False
002641,公元股份,46.3,35.5,44.5,55.0,40.0,60.0,其他,False
601816,京沪高铁,46.3,33.6,53.5,45.0,32.5,68.0,其他,False
600279,重庆港,46.3,36.8,55.5,35.0,47.5,60.0,其他,False
601899,紫金矿业,46.2,20.9,34.5,85.0,55.0,48.0,铜、有色金属,False
603063,禾望电气,46.2,83.5,32.0,15.0,47.5,44.0,其他,False
002374,中锐股份,46.2,55.7,55.5,5.0,77.5,40.0,其他,False
603444,吉比特,46.2,16.4,45.5,95.0,37.5,36.0,其他,False
605366,宏柏新材,46.2,54.6,52.5,20.0,70.0,32.0,其他,False
600642,申能股份,46.2,50.8,58.5,5.0,55.0,64.0,其他,False
000967,盈峰环境,46.2,51.3,46.5,60.0,37.5,20.0,其他,False
603815,交建股份,46.2,40.8,56.5,35.0,57.5,40.0,其他,False
601717,中创智领,46.2,39.5,61.5,5.0,77.5,60.0,其他,False
600780,通宝能源,46.2,49.3,46.5,35.0,47.5,52.0,其他,False
603065,宿迁联盛,46.2,35.9,40.5,50.0,55.0,60.0,其他,False
002798,帝欧水华,46.1,64.1,46.5,25.0,32.5,52.0,其他,False
603166,福达股份,46.1,31.5,55.5,45.0,40.0,60.0,其他,False
603057,紫燕食品,46.1,35.6,46.5,60.0,47.5,40.0,其他,False
002216,三全食品,46.1,42.1,45.5,65.0,32.5,36.0,其他,False
002920,德赛西威,46.1,39.0,61.5,5.0,77.5,60.0,其他,False
601699,潞安环能,46.1,43.5,56.5,40.0,42.5,40.0,其他,False
605186,健麾信息,46.1,56.4,60.5,25.0,32.5,40.0,其他,False
002487,大金重工,46.1,33.6,50.5,70.0,40.0,28.0,其他,False
600329,达仁堂,46.1,28.5,46.5,70.0,37.5,48.0,其他,False
601600,中国铝业,46.0,29.6,40.5,70.0,55.0,40.0,有色金属、工业金属,False
001298,好上好,46.0,29.3,55.5,65.0,32.5,40.0,其他,False
002382,蓝帆医疗,46.0,42.8,44.5,55.0,57.5,28.0,其他,False
002918,蒙娜丽莎,46.0,47.6,55.5,40.0,57.5,20.0,其他,False
603026,石大胜华,46.0,41.3,39.5,85.0,30.0,20.0,有色金属、新能源汽车,False
605077,华康股份,46.0,52.1,46.5,35.0,40.0,52.0,其他,False
603229,奥翔药业,46.0,39.2,51.0,50.0,37.5,48.0,其他,False
003037,三和管桩,46.0,38.3,61.5,5.0,77.5,60.0,其他,False
001286,陕西能源,46.0,42.3,46.5,55.0,32.5,48.0,其他,False
603610,麒盛科技,45.9,44.4,67.5,30.0,32.5,40.0,其他,False
002797,第一创业,45.9,31.4,46.5,65.0,37.5,48.0,其他,False
002746,仙坛股份,45.9,35.5,46.5,55.0,32.5,60.0,其他,False
603937,丽岛新材,45.9,56.1,46.5,60.0,25.0,20.0,其他,False
002611,东方精工,45.9,44.8,67.5,25.0,40.0,40.0,其他,False
600725,云维股份,45.9,33.2,61.5,35.0,47.5,52.0,其他,False
002136,安 纳 达,45.9,42.6,46.5,50.0,47.5,40.0,其他,False
000426,兴业银锡,45.8,20.7,46.5,100.0,32.5,20.0,其他,False
002668,TCL智家,45.8,29.5,46.5,70.0,32.5,48.0,其他,False
002609,捷顺科技,45.8,31.1,46.5,60.0,32.5,60.0,其他,False
002603,以岭药业,45.8,30.2,53.5,60.0,32.5,48.0,其他,False
000686,东北证券,45.8,29.1,43.5,70.0,40.0,48.0,其他,False
603508,思维列控,45.7,29.3,46.5,65.0,40.0,48.0,其他,False
002403,爱仕达,45.7,36.9,67.5,25.0,32.5,60.0,其他,False
002039,黔源电力,45.7,37.1,46.5,65.0,32.5,40.0,其他,False
002643,万润股份,45.7,38.9,46.5,45.0,40.0,60.0,其他,False
605318,法狮龙,45.7,50.7,52.5,40.0,32.5,40.0,其他,False
600455,博通股份,45.7,46.2,39.0,50.0,32.5,60.0,其他,False
002366,融发核电,45.6,28.9,46.5,70.0,32.5,48.0,其他,False
605222,起帆电缆,45.6,48.6,46.5,60.0,37.5,20.0,其他,False
000906,浙商中拓,45.6,43.9,46.5,55.0,25.0,48.0,其他,False
605555,德昌股份,45.6,33.7,61.5,20.0,55.0,64.0,其他,False
002460,赣锋锂业,45.6,35.1,50.5,70.0,32.5,28.0,有色金属、新能源汽车,False
002981,朝阳科技,45.5,39.5,61.5,5.0,57.5,72.0,其他,False
601688,华泰证券,45.5,28.4,34.5,70.0,57.5,48.0,其他,False
601375,中原证券,45.5,31.7,34.5,70.0,37.5,60.0,其他,False
002931,锋龙股份,45.5,31.8,61.5,25.0,85.0,32.0,其他,False
002287,奇正藏药,45.5,28.7,38.5,70.0,40.0,56.0,其他,False
601886,江河集团,45.5,34.8,56.5,35.0,55.0,48.0,其他,False
600481,双良节能,45.4,49.8,61.5,5.0,70.0,40.0,其他,False
001236,弘业期货,45.4,25.8,46.5,65.0,45.0,48.0,其他,False
002712,思美传媒,45.4,33.3,46.5,60.0,37.5,48.0,其他,False
002246,北化股份,45.4,38.9,42.5,60.0,65.0,20.0,其他,False
001393,维通利,45.4,50.0,50.0,25.0,50.0,50.0,其他,False
603998,方盛制药,45.3,27.6,38.5,80.0,32.5,48.0,其他,False
600538,国发股份,45.3,43.7,52.5,25.0,55.0,52.0,其他,False
002006,精工科技,45.3,36.0,55.5,35.0,40.0,60.0,其他,False
001380,华纬科技,45.3,36.3,61.5,10.0,55.0,72.0,其他,False
002877,智能自控,45.3,30.6,46.5,55.0,37.5,60.0,其他,False
600925,苏能股份,45.3,36.8,34.5,60.0,32.5,68.0,其他,False
603856,东宏股份,45.3,34.9,44.5,35.0,65.0,60.0,其他,False
600508,上海能源,45.3,44.3,46.5,25.0,57.5,60.0,其他,False
002142,宁波银行,45.3,35.3,50.5,50.0,40.0,48.0,其他,False
600369,西南证券,45.3,32.4,34.5,65.0,55.0,48.0,其他,False
000151,中成股份,45.3,35.2,39.0,65.0,40.0,48.0,其他,False
000088,盐 田 港,45.3,36.7,46.5,40.0,40.0,68.0,其他,False
603489,八方股份,45.3,41.7,46.5,65.0,32.5,28.0,其他,False
603196,璞源材料,45.2,21.0,56.5,75.0,37.5,28.0,其他,False
600480,凌云股份,45.2,45.0,48.5,20.0,55.0,64.0,其他,False
601658,邮储银行,45.2,35.2,40.5,40.0,55.0,68.0,其他,False
600558,大西洋,45.2,36.2,46.5,50.0,32.5,60.0,其他,False
601128,常熟银行,45.2,36.2,46.5,45.0,32.5,68.0,其他,False
600790,轻纺城,45.2,53.6,46.5,40.0,47.5,28.0,其他,False
000833,粤桂股份,45.2,30.0,46.5,85.0,32.5,20.0,其他,False
002708,光洋股份,45.2,54.5,48.5,25.0,40.0,52.0,其他,False
605155,西大门,45.2,38.1,46.5,30.0,70.0,52.0,其他,False
603227,雪峰科技,45.1,39.8,65.5,5.0,45.0,72.0,其他,False
603515,欧普照明,45.1,36.8,52.5,40.0,47.5,48.0,其他,False
603029,天鹅股份,45.1,27.1,43.5,70.0,37.5,48.0,其他,False
002184,海得控制,45.1,36.2,55.5,35.0,37.5,60.0,其他,False
603876,鼎胜新材,45.1,56.7,46.5,55.0,25.0,20.0,有色金属、工业金属,False
601958,金钼股份,45.1,38.8,39.0,65.0,40.0,40.0,有色金属,False
002928,华夏航空,45.0,22.9,44.5,50.0,85.0,40.0,其他,False
600995,南网储能,45.0,37.9,46.5,55.0,32.5,48.0,其他,False
002779,中坚科技,45.0,27.1,61.5,40.0,70.0,28.0,其他,False
002988,豪美新材,45.0,37.1,52.5,40.0,55.0,40.0,其他,False
600482,中国动力,45.0,38.2,53.5,50.0,47.5,28.0,其他,False
002973,侨银股份,45.0,42.1,61.5,10.0,40.0,72.0,其他,False
000565,渝三峡Ａ,45.0,33.8,46.5,60.0,32.5,48.0,其他,False
001218,丽臣实业,45.0,34.1,46.5,65.0,32.5,40.0,其他,False
600109,国金证券,45.0,38.1,46.5,55.0,32.5,48.0,其他,False
603520,司太立,45.0,42.1,51.0,55.0,45.0,20.0,其他,False
600887,伊利股份,45.0,38.1,43.5,60.0,30.0,48.0,其他,False
001277,速达股份,44.9,29.5,46.5,65.0,32.5,48.0,其他,False
603041,美思德,44.9,37.6,46.5,55.0,32.5,48.0,其他,False
600320,振华重工,44.9,32.6,43.5,65.0,32.5,48.0,其他,False
603588,高能环境,44.9,29.4,41.5,85.0,32.5,28.0,其他,False
002966,苏州银行,44.9,33.5,46.5,50.0,40.0,56.0,其他,False
600872,中炬高新,44.9,27.3,50.5,65.0,42.5,36.0,其他,False
000722,湖南发展,44.9,36.0,46.5,75.0,25.0,28.0,其他,False
000782,恒申新材,44.9,67.9,46.5,35.0,32.5,20.0,其他,False
002177,御银股份,44.9,34.0,55.5,45.0,37.5,48.0,其他,False
600973,宝胜股份,44.9,35.2,46.5,65.0,30.0,40.0,其他,False
002510,天汽模,44.9,35.8,51.5,35.0,45.0,60.0,其他,False
601500,通用股份,44.9,37.7,38.5,65.0,32.5,48.0,其他,False
603600,永艺股份,44.8,32.3,46.5,55.0,42.5,48.0,其他,False
002855,捷荣技术,44.8,31.7,56.5,35.0,42.5,60.0,其他,False
002203,海亮股份,44.8,65.2,46.5,25.0,40.0,32.0,铜、有色金属、工业金属,False
603070,万控智造,44.8,60.8,40.5,5.0,60.0,64.0,其他,False
601398,工商银行,44.8,38.3,46.5,40.0,32.5,68.0,其他,False
000042,中洲控股,44.8,51.9,60.5,15.0,25.0,60.0,其他,False
603126,中材节能,44.8,39.5,46.5,65.0,32.5,28.0,其他,False
002820,桂发祥,44.8,29.9,43.5,65.0,37.5,48.0,其他,False
002054,德美化工,44.8,24.4,46.5,65.0,42.5,48.0,其他,False
000723,美锦能源,44.8,26.8,57.0,35.0,65.0,48.0,其他,False
002922,伊戈尔,44.8,37.1,46.5,55.0,50.0,32.0,其他,False
603803,瑞斯康达,44.8,43.9,46.5,65.0,32.5,20.0,其他,False
600540,新赛股份,44.8,30.7,43.5,85.0,25.0,28.0,其他,False
601018,XD宁波港,44.8,31.8,44.5,45.0,55.0,56.0,其他,False
002245,蔚蓝锂芯,44.7,39.1,46.5,60.0,50.0,20.0,其他,False
600356,恒丰纸业,44.7,30.7,56.5,50.0,32.5,48.0,其他,False
600130,波导股份,44.7,47.5,46.5,60.0,32.5,20.0,其他,False
002439,启明星辰,44.7,36.9,46.5,60.0,32.5,40.0,其他,False
603344,星德胜,44.7,43.8,67.5,20.0,40.0,40.0,其他,False
600148,长春一东,44.7,32.7,46.5,60.0,32.5,48.0,其他,False
600988,赤峰黄金,44.7,21.3,41.5,90.0,40.0,28.0,有色金属,False
600582,天地科技,44.7,38.3,44.5,10.0,85.0,68.0,其他,False
002249,大洋电机,44.6,38.6,55.5,25.0,45.0,60.0,其他,False
601828,美凯龙,44.6,40.3,46.5,50.0,32.5,48.0,其他,False
002040,南 京 港,44.6,32.3,46.5,60.0,32.5,48.0,其他,False
603030,全筑股份,44.6,38.7,46.5,65.0,32.5,28.0,其他,False
603615,茶花股份,44.6,30.1,46.5,65.0,37.5,40.0,其他,False
603985,恒润股份,44.6,43.2,46.5,65.0,32.5,20.0,其他,False
000430,张家界,44.6,22.9,46.5,80.0,32.5,36.0,其他,False
603882,金域医学,44.6,32.3,40.5,40.0,77.5,48.0,其他,False
002334,英威腾,44.6,44.8,48.5,25.0,55.0,52.0,其他,False
002715,登云股份,44.6,40.5,46.5,55.0,32.5,40.0,其他,False
000728,国元证券,44.5,32.9,57.0,10.0,77.5,60.0,其他,False
600756,浪潮软件,44.5,33.1,44.5,55.0,42.5,48.0,其他,False
603129,春风动力,44.5,26.5,50.5,65.0,40.0,36.0,其他,False
603992,松霖科技,44.5,22.0,44.5,70.0,50.0,40.0,其他,False
600850,电科数字,44.5,38.1,51.5,20.0,70.0,52.0,其他,False
600182,S佳通,44.5,33.4,42.5,40.0,70.0,48.0,其他,False
002127,南极电商,44.5,48.8,51.0,35.0,37.5,40.0,其他,False
002462,嘉事堂,44.5,32.7,61.0,5.0,77.5,60.0,其他,False
002415,海康威视,44.4,29.7,50.5,65.0,32.5,36.0,其他,False
603507,振江股份,44.4,37.9,46.5,65.0,32.5,28.0,其他,False
603386,骏亚科技,44.4,48.2,55.5,20.0,40.0,52.0,其他,False
002903,宇环数控,44.4,79.1,46.5,10.0,32.5,32.0,其他,False
001202,炬申股份,44.4,33.5,34.5,60.0,40.0,60.0,其他,False
603826,坤彩科技,44.4,37.2,46.5,65.0,42.5,20.0,其他,False
600769,祥龙电业,44.4,46.0,46.5,45.0,57.5,20.0,其他,False
603298,杭叉集团,44.4,39.6,46.5,45.0,40.0,48.0,其他,False
603607,京华激光,44.3,35.8,63.5,25.0,40.0,52.0,其他,False
605011,杭州热电,44.3,47.1,46.5,45.0,32.5,40.0,其他,False
000935,四川双马,44.3,49.5,67.5,15.0,32.5,40.0,其他,False
000552,甘肃能化,44.3,34.0,43.5,60.0,32.5,48.0,其他,False
600177,雅戈尔,44.2,38.8,46.5,45.0,40.0,48.0,其他,False
603296,华勤技术,44.2,54.7,46.5,40.0,32.5,32.0,其他,False
001287,中电港,44.2,41.5,46.5,65.0,32.5,20.0,其他,False
603020,爱普股份,44.2,34.9,53.5,45.0,55.0,28.0,其他,False
603197,保隆科技,44.1,34.6,39.0,50.0,42.5,60.0,其他,False
002600,领益智造,44.1,41.1,67.5,20.0,40.0,40.0,磁性材料、金属新材料,False
600008,首创环保,44.1,39.9,46.5,25.0,47.5,68.0,其他,False
600727,鲁北化工,44.1,38.1,46.5,50.0,32.5,48.0,其他,False
002350,北京科锐,44.1,66.1,46.5,25.0,32.5,32.0,其他,False
600617,国新能源,44.1,44.9,55.5,35.0,32.5,40.0,其他,False
002759,天际股份,44.1,22.8,42.5,90.0,37.5,20.0,其他,False
000506,招金黄金,44.1,10.8,41.5,100.0,40.0,28.0,其他,False
600881,亚泰集团,44.1,36.5,44.5,40.0,65.0,40.0,其他,False
600189,泉阳泉,44.1,30.1,46.5,60.0,32.5,48.0,其他,False
603392,万泰生物,44.1,15.7,53.5,80.0,37.5,28.0,其他,False
605138,盛泰集团,44.1,39.4,46.5,50.0,30.0,48.0,其他,False
605007,五洲特纸,44.1,30.0,53.5,55.0,40.0,36.0,其他,False
002796,世嘉科技,44.1,52.1,52.5,20.0,70.0,20.0,其他,False
001306,夏厦精密,44.1,34.2,67.5,20.0,32.5,60.0,其他,False
600650,锦江在线,44.0,28.1,51.5,20.0,77.5,60.0,其他,False
002532,天山铝业,44.0,27.7,40.5,70.0,55.0,28.0,铜、有色金属、工业金属,False
603049,中策橡胶,44.0,33.8,40.5,40.0,47.5,68.0,其他,False
002327,富安娜,44.0,29.7,46.5,60.0,32.5,48.0,其他,False
000973,佛塑科技,44.0,22.3,45.5,85.0,40.0,20.0,其他,False
002009,天奇股份,44.0,25.7,55.5,60.0,40.0,32.0,其他,False
000885,城发环境,44.0,36.4,43.5,50.0,32.5,56.0,其他,False
603871,嘉友国际,44.0,29.2,44.5,50.0,67.5,36.0,其他,False
002862,实丰文化,44.0,24.2,46.5,75.0,32.5,36.0,其他,False
603307,扬州金泉,44.0,39.3,46.5,50.0,37.5,40.0,其他,False
600847,万里股份,44.0,52.6,67.5,5.0,40.0,40.0,其他,False
600098,广州发展,43.9,41.7,55.5,20.0,40.0,60.0,其他,False
000790,华神科技,43.9,45.3,46.5,45.0,32.5,40.0,其他,False
000953,河化股份,43.9,40.0,63.0,5.0,40.0,72.0,其他,False
600479,千金药业,43.9,34.7,41.5,45.0,47.5,56.0,其他,False
600463,空港股份,43.9,28.0,46.5,65.0,40.0,36.0,其他,False
001231,农心科技,43.9,36.3,46.5,40.0,37.5,60.0,其他,False
603659,璞泰来,43.9,26.6,49.5,70.0,37.5,28.0,新能源汽车,False
002972,科安达,43.9,29.8,43.5,60.0,37.5,48.0,其他,False
001391,国货航,43.9,29.3,55.5,35.0,32.5,68.0,其他,False
002929,润建股份,43.9,72.9,48.5,5.0,45.0,32.0,其他,False
603926,铁流股份,43.9,49.2,51.0,35.0,40.0,32.0,其他,False
002961,瑞达期货,43.8,27.3,46.5,70.0,32.5,36.0,其他,False
603060,国检集团,43.8,44.5,46.5,40.0,32.5,48.0,其他,False
603689,皖天然气,43.8,38.0,51.0,25.0,40.0,68.0,其他,False
000766,通化金马,43.8,37.5,56.5,45.0,40.0,28.0,其他,False
002023,海特高新,43.8,33.2,46.5,60.0,32.5,40.0,其他,False
002830,名雕股份,43.8,32.8,51.0,45.0,40.0,48.0,其他,False
002752,昇兴股份,43.8,36.5,46.5,55.0,25.0,48.0,其他,False
002489,浙江永强,43.8,51.9,67.5,10.0,40.0,32.0,其他,False
603577,汇金通,43.8,40.1,56.5,5.0,65.0,60.0,其他,False
000792,盐湖股份,43.8,24.8,33.5,95.0,32.5,28.0,其他,False
000601,韶能股份,43.8,51.5,46.5,50.0,32.5,20.0,其他,False
002870,香山股份,43.8,49.7,55.5,10.0,47.5,52.0,其他,False
603602,纵横通信,43.7,36.9,55.5,30.0,32.5,60.0,其他,False
002582,好想你,43.7,12.6,50.5,85.0,30.0,36.0,其他,False
000590,古汉医药,43.7,27.0,44.5,60.0,40.0,48.0,其他,False
605305,中际联合,43.7,27.0,50.5,70.0,32.5,28.0,其他,False
601006,大秦铁路,43.7,41.5,51.0,20.0,40.0,68.0,其他,False
002545,东方铁塔,43.7,31.3,46.5,75.0,32.5,20.0,其他,False
002780,三夫户外,43.7,26.4,43.5,80.0,32.5,28.0,其他,False
000966,长源电力,43.7,44.3,39.0,55.0,32.5,40.0,其他,False
000925,众合科技,43.7,39.0,46.5,70.0,25.0,20.0,其他,False
600061,国投资本,43.7,28.8,34.5,75.0,32.5,48.0,其他,False
001387,雪祺电气,43.6,37.8,46.5,35.0,40.0,60.0,其他,False
000952,广济药业,43.6,40.0,46.5,45.0,32.5,48.0,其他,False
600459,贵研铂业,43.6,32.5,44.5,25.0,67.5,64.0,其他,False
600515,海南机场,43.6,22.7,41.5,70.0,37.5,48.0,其他,False
603387,基蛋生物,43.6,36.0,46.5,50.0,32.5,48.0,其他,False
603219,富佳股份,43.6,44.3,67.5,5.0,40.0,52.0,其他,False
600641,先导基电,43.6,52.4,46.5,35.0,40.0,32.0,其他,False
600345,长江通信,43.6,38.6,46.5,65.0,32.5,20.0,其他,False
603868,飞科电器,43.6,45.4,39.0,45.0,32.5,52.0,其他,False
002633,申科股份,43.6,34.0,46.5,55.0,37.5,40.0,其他,False
601666,平煤股份,43.5,39.8,44.5,25.0,77.5,40.0,其他,False
601288,农业银行,43.5,31.3,50.5,45.0,32.5,56.0,其他,False
002702,海欣食品,43.5,26.2,46.5,70.0,32.5,36.0,其他,False
603205,健尔康,43.5,40.0,61.5,10.0,57.5,48.0,其他,False
605287,德才股份,43.5,59.7,56.5,5.0,65.0,20.0,其他,False
000605,渤海股份,43.5,35.7,46.5,45.0,40.0,48.0,其他,False
