date,open,high,low,close,vol,amount,change%,turnover%,change,amplitude%
2026-05-11,85.55,107.98,82.6,97.5,389947,3565643595.0,633.08,83.17,84.2,
2026-05-12,101.0,122.22,93.6,114.57,352276,3687470496.0,17.51,75.14,17.07,
2026-05-13,107.0,117.49,102.5,110.61,271596,2968160075.0,-3.46,57.93,-3.96,
2026-05-14,111.75,120.2,106.0,106.9,250517,2844434372.0,-3.35,53.43,-3.71,
2026-05-15,99.86,99.86,88.91,92.5,223260,2109116196.0,-13.47,47.62,-14.4,
2026-05-18,86.0,111.0,83.5,111.0,254559,2516391961.0,20.0,54.3,18.5,
2026-05-19,113.56,121.21,101.58,101.99,240651,2642212407.0,-8.12,51.33,-9.01,
2026-05-20,100.46,105.95,97.99,103.07,169588,1731326520.0,1.06,36.17,1.08,
2026-05-21,98.86,102.9,89.38,89.9,186839,1785656948.0,-12.78,39.85,-13.17,
2026-05-22,92.0,93.8,88.89,91.02,118064,1074860506.0,1.25,25.18,1.12,
2026-05-25,89.02,95.28,87.08,92.82,136489,1245719228.0,1.98,29.11,1.8,
2026-05-26,90.01,90.5,82.7,84.94,116142,987832119.0,-8.49,24.77,-7.88,
2026-05-27,83.5,84.88,76.33,76.38,113616,903113083.0,-10.08,24.23,-8.56,
2026-05-28,75.03,82.82,75.01,80.72,100592,800300146.0,5.68,21.46,4.34,
2026-05-29,80.68,81.29,73.73,74.55,90509,695178005.21,-7.64,19.3,-6.17,
