date,open,high,low,close,vol,amount,change%,turnover%,change,amplitude%
2026-03-25,24.22,24.42,24.08,24.2,49677,120296977.0,-0.08,2.98,-0.02,
2026-03-26,24.15,24.15,23.32,23.32,58993,139678218.0,-3.64,3.54,-0.88,
2026-03-27,22.05,23.2,21.28,22.86,319445,695774167.0,-1.97,15.69,-0.46,
2026-03-30,22.0,22.01,21.57,21.79,178599,389769598.0,-4.68,8.77,-1.07,
2026-03-31,21.87,21.91,21.11,21.19,129659,279098610.0,-2.75,6.37,-0.6,
2026-04-01,21.52,21.58,21.24,21.4,94562,202213310.0,0.99,4.64,0.21,
2026-04-02,21.39,21.44,20.62,20.73,124083,259513737.0,-3.13,6.09,-0.67,
2026-04-03,20.85,20.9,20.56,20.77,69522,144316319.0,0.19,3.41,0.04,
2026-04-07,20.79,20.97,20.68,20.84,57366,119538635.0,0.34,2.82,0.07,
2026-04-08,21.18,21.68,21.14,21.66,116587,249569226.0,3.93,5.73,0.82,
2026-04-09,21.41,21.51,21.21,21.28,68862,146896091.0,-1.75,3.38,-0.38,
2026-04-10,21.42,21.87,21.38,21.71,90901,197173463.0,2.02,4.46,0.43,
2026-04-13,21.56,21.8,21.52,21.71,59412,128655138.0,0.0,2.92,0.0,
2026-04-14,21.9,21.9,21.59,21.79,69314,150619181.0,0.37,3.4,0.08,
2026-04-15,21.85,22.05,21.55,21.72,68780,150265226.0,-0.32,3.38,-0.07,
2026-04-16,21.79,21.81,21.66,21.77,54015,117423500.0,0.23,2.65,0.05,
2026-04-17,21.8,21.84,21.57,21.77,50755,110143149.0,0.0,2.49,0.0,
2026-04-20,21.75,21.88,21.6,21.8,62501,136015061.0,0.14,3.07,0.03,
2026-04-21,21.8,22.11,21.6,22.01,86502,188973589.0,0.96,4.25,0.21,
2026-04-22,21.94,21.94,21.72,21.82,56711,123593425.0,-0.86,2.79,-0.19,
2026-04-23,21.88,22.08,21.55,21.7,75005,163355031.0,-0.55,3.68,-0.12,
2026-04-24,21.65,21.76,21.33,21.69,70654,152279928.0,-0.05,3.47,-0.01,
2026-04-27,21.68,22.02,21.54,21.96,85830,187724509.0,1.24,4.22,0.27,
2026-04-28,20.81,20.83,19.22,19.34,275406,540319735.0,-11.93,13.52,-2.62,
2026-04-29,19.1,19.83,19.01,19.75,121627,236707309.0,2.12,5.97,0.41,
2026-04-30,19.66,19.84,19.53,19.57,69268,135784341.0,-0.91,3.4,-0.18,
2026-05-06,19.6,20.45,19.6,20.07,100222,200552485.0,2.55,4.92,0.5,
2026-05-07,20.04,20.55,19.97,20.27,68864,139450111.0,1.0,3.38,0.2,
2026-05-08,20.19,20.45,20.1,20.36,65072,131971687.0,0.44,3.2,0.09,
2026-05-11,20.36,20.49,20.25,20.26,65399,132933009.0,-0.49,3.21,-0.1,
2026-05-12,20.24,20.3,19.71,19.72,79445,158109944.0,-2.67,3.9,-0.54,
2026-05-13,19.72,19.84,19.46,19.73,76731,150528044.0,0.05,3.77,0.01,
2026-05-14,19.83,19.89,19.01,19.01,80003,154236091.0,-3.65,3.93,-0.72,
2026-05-15,19.05,20.12,18.9,19.54,136812,268154962.0,2.79,6.72,0.53,
2026-05-18,19.4,19.88,19.24,19.72,81762,160073143.0,0.92,4.02,0.18,
2026-05-19,19.62,20.05,19.59,19.74,56905,112385259.0,0.1,2.79,0.02,
2026-05-20,19.75,19.8,19.15,19.2,67936,131101654.0,-2.74,3.34,-0.54,
2026-05-21,19.26,20.42,19.24,19.65,168136,335617313.0,2.34,8.26,0.45,
2026-05-22,19.85,19.89,19.39,19.72,94099,184438772.0,0.36,4.62,0.07,
2026-05-25,19.48,19.62,19.22,19.29,85109,164834242.0,-2.18,4.18,-0.43,
2026-05-26,19.24,19.71,19.05,19.4,94876,184080359.0,0.57,4.66,0.11,
2026-05-27,19.32,19.5,18.54,18.58,109609,206624364.0,-4.23,5.38,-0.82,
2026-05-28,18.51,18.72,17.9,18.13,89799,163968811.0,-2.42,4.41,-0.45,
2026-05-29,18.27,18.34,17.8,17.9,66283,119629647.19,-1.27,3.26,-0.23,
