date,open,high,low,close,vol,amount,change%,turnover%,change,amplitude%
2026-04-16,207.23,255.0,199.99,244.55,219933,4863699476.0,430.71,82.94,198.47,
2026-04-17,262.0,266.0,229.8,231.5,177908,4434999898.0,-5.34,67.09,-13.05,
2026-04-20,224.67,242.34,222.22,237.99,110245,2566009091.0,2.8,41.58,6.49,
2026-04-21,233.4,233.5,211.11,214.55,99998,2178330284.0,-9.85,37.71,-23.44,
2026-04-22,213.0,228.99,212.66,224.9,82074,1818686636.0,4.82,30.95,10.35,
2026-04-23,232.0,248.4,221.0,221.99,89222,2075202794.0,-1.29,33.65,-2.91,
2026-04-24,220.03,252.0,220.0,234.5,109510,2605584742.0,5.64,41.3,12.51,
2026-04-27,245.06,248.88,234.91,239.71,86773,2091554614.0,2.22,32.72,5.21,
2026-04-28,238.01,258.2,234.5,252.81,89843,2217649387.0,5.46,33.88,13.1,
2026-04-29,275.0,302.88,262.0,296.0,102850,2871068114.0,17.08,38.79,43.19,
2026-04-30,285.0,338.5,282.0,318.0,92276,2799610688.0,7.43,34.8,22.0,
2026-05-06,351.11,381.6,351.11,379.0,89544,3351697235.0,19.18,33.77,61.0,
2026-05-07,380.6,439.56,371.0,432.28,100629,4069553534.0,14.06,37.95,53.28,
2026-05-08,416.93,508.5,416.93,504.81,99992,4712132982.0,16.78,37.71,72.53,
2026-05-11,533.1,583.1,482.0,501.17,91443,4791551288.0,-0.72,34.49,-3.64,
2026-05-12,486.88,526.08,467.89,525.99,63925,3229060070.0,4.95,24.11,24.82,
2026-05-13,510.0,631.0,505.77,631.0,70008,3949132463.0,19.96,26.4,105.01,
2026-05-14,625.0,692.28,606.0,631.0,75387,4950097965.0,0.0,28.43,0.0,
2026-05-15,628.0,680.0,606.02,680.0,65368,4276571353.0,7.77,24.65,49.0,
2026-05-18,695.0,816.0,694.0,816.0,59992,4576570217.0,20.0,22.62,136.0,
2026-05-22,790.0,899.99,701.11,888.99,84663,6766402141.0,8.94,31.93,72.99,
2026-05-25,850.0,918.88,821.18,827.0,65904,5667863077.0,-6.97,24.85,-61.99,
2026-05-26,790.0,816.66,710.0,713.0,77847,5822007029.0,-13.78,29.36,-114.0,
2026-05-27,750.0,784.9,725.0,733.17,64944,4894613606.0,2.83,24.49,20.17,
2026-05-28,703.5,740.0,682.0,721.1,51260,3665649475.0,-1.65,19.33,-12.07,
2026-05-29,728.66,788.0,710.5,758.0,64374,4835977060.07,5.12,24.28,36.9,
