date,open,high,low,close,vol,amount,change%,turnover%,change,amplitude%
2026-04-30,48.0,62.4,47.5,62.4,422508,2208628614.0,348.6,77.24,48.49,
2026-05-06,62.68,80.0,59.34,70.18,364034,2548328239.0,12.47,66.55,7.78,
2026-05-07,66.66,73.12,64.66,71.2,294549,2041291987.0,1.45,53.85,1.02,
2026-05-08,68.86,71.93,64.1,65.35,267868,1797320065.0,-8.22,48.97,-5.85,
2026-05-11,63.01,73.73,62.6,71.75,305835,2128842043.0,9.79,55.91,6.4,
2026-05-12,69.5,70.1,64.06,66.05,240557,1580745614.0,-7.94,43.98,-5.7,
2026-05-13,63.44,64.44,59.6,62.7,213770,1313739900.0,-5.07,39.08,-3.35,
2026-05-14,61.6,63.3,56.0,56.89,165418,984090107.0,-9.27,30.24,-5.81,
2026-05-15,57.08,60.87,56.06,58.8,150599,883148545.0,3.36,27.53,1.91,
2026-05-18,57.12,70.56,57.12,70.56,239187,1588565344.0,20.0,43.73,11.76,
2026-05-19,74.39,76.2,68.68,70.3,286493,2059213611.0,-0.37,52.37,-0.26,
2026-05-20,68.85,82.97,67.67,79.5,303961,2296037453.0,13.09,55.57,9.2,
2026-05-21,76.5,85.0,70.58,71.15,290991,2248105005.0,-10.5,53.2,-8.35,
2026-05-22,72.15,74.76,69.8,71.3,220218,1585860147.0,0.21,40.26,0.15,
2026-05-25,67.93,68.78,63.01,64.01,214475,1406091598.0,-10.22,39.21,-7.29,
2026-05-26,63.17,66.97,61.17,66.7,183205,1192996168.0,4.2,33.49,2.69,
2026-05-27,65.02,65.5,59.43,59.46,157775,970168613.0,-10.85,28.84,-7.24,
2026-05-28,57.61,60.98,57.61,60.17,108946,652683708.0,1.19,19.92,0.71,
2026-05-29,60.77,60.86,54.57,55.69,133054,758164352.65,-7.45,24.32,-4.48,
