date,open,high,low,close,vol,amount,change%,turnover%,change,amplitude%
2026-03-06,126.0,147.82,125.0,126.71,129529,1700104481.0,118.47,77.09,68.71,
2026-03-09,115.87,128.9,113.8,120.0,82925,997382987.0,-5.3,49.35,-6.71,
2026-03-10,123.58,132.99,119.55,122.04,82389,1031985623.0,1.7,49.03,2.04,
2026-03-11,119.66,134.26,115.72,127.72,89492,1115851122.0,4.65,53.26,5.68,
2026-03-12,124.1,133.2,121.0,130.27,81430,1040710926.0,2.0,48.46,2.55,
2026-03-13,126.5,129.58,117.01,117.5,73407,901691424.0,-9.8,43.69,-12.77,
2026-03-16,114.96,119.0,108.8,109.0,58218,653807038.0,-7.23,34.65,-8.5,
2026-03-17,107.2,130.8,107.0,130.8,103876,1265181583.0,20.0,61.82,21.8,
2026-03-18,130.29,141.06,127.18,136.7,115621,1536790300.0,4.51,68.81,5.9,
2026-03-19,131.39,146.0,130.87,133.21,87262,1201110981.0,-2.55,51.93,-3.49,
2026-03-20,136.8,139.0,118.68,119.8,75634,962331133.0,-10.07,45.01,-13.41,
2026-03-23,114.5,128.97,114.5,122.46,69190,846416095.0,2.22,41.18,2.66,
2026-03-24,121.15,121.99,112.6,117.25,59748,694837109.0,-4.25,35.56,-5.21,
2026-03-25,115.02,119.3,114.0,115.8,49711,577092269.0,-1.24,29.59,-1.45,
2026-03-26,115.0,115.51,109.85,110.97,40606,454333055.0,-4.17,24.17,-4.83,
2026-03-27,108.0,112.1,107.86,110.02,28746,317448780.0,-0.86,17.11,-0.95,
2026-03-30,107.82,112.85,107.5,112.17,27958,311349451.0,1.95,16.64,2.15,
2026-03-31,111.49,111.49,103.68,104.0,39397,420393877.0,-7.28,23.45,-8.17,
2026-04-01,104.8,106.7,102.3,103.45,28156,292702311.0,-0.53,16.76,-0.55,
2026-04-02,102.82,102.88,98.07,98.67,30664,305974368.0,-4.62,18.25,-4.78,
2026-04-03,99.18,99.73,96.76,97.35,21655,212406240.0,-1.34,12.89,-1.32,
2026-04-07,97.1,99.55,97.1,98.76,17135,168711989.0,1.45,10.2,1.41,
2026-04-08,100.05,102.55,100.05,101.95,28485,290039122.0,3.23,16.95,3.19,
2026-04-09,100.5,100.94,99.0,99.2,21015,209437253.0,-2.7,12.51,-2.75,
2026-04-10,99.6,102.73,99.6,101.91,26231,265569816.0,2.73,15.61,2.71,
2026-04-13,100.22,111.0,99.98,109.2,48516,516949984.0,7.15,28.87,7.29,
2026-04-14,108.37,108.37,104.6,107.04,34297,363541060.0,-1.98,20.41,-2.16,
2026-04-15,106.27,112.48,106.07,107.98,33279,362888717.0,0.88,19.81,0.94,
2026-04-16,107.17,108.43,105.3,106.4,24228,257185217.0,-1.46,14.42,-1.58,
2026-04-17,106.39,106.39,103.44,104.48,23044,240090545.0,-1.8,13.71,-1.92,
2026-04-20,104.6,106.2,104.31,105.39,19759,207963237.0,0.87,11.76,0.91,
2026-04-21,104.3,107.65,102.0,106.99,28226,296413031.0,1.52,16.8,1.6,
2026-04-22,105.7,105.71,103.76,104.62,20059,209519513.0,-2.22,11.94,-2.37,
2026-04-23,103.88,104.66,100.66,102.27,20351,208659010.0,-2.25,12.11,-2.35,
2026-04-24,101.39,103.49,100.1,102.43,15939,162519204.0,0.16,9.49,0.16,
2026-04-27,101.3,103.97,101.02,103.47,14641,150214452.0,1.02,8.71,1.04,
2026-04-28,103.58,107.59,102.2,106.0,29316,309686799.0,2.45,17.45,2.53,
2026-04-29,106.5,108.0,104.51,106.2,22102,234143389.0,0.19,13.15,0.2,
2026-04-30,105.49,107.0,104.54,105.57,17335,182990085.0,-0.59,10.32,-0.63,
2026-05-06,106.0,110.0,106.0,109.87,30900,336271981.0,4.07,18.39,4.3,
2026-05-07,110.0,112.98,108.13,112.13,34667,383300882.0,2.06,20.63,2.26,
2026-05-08,111.0,122.22,110.53,120.81,48689,568610152.0,7.74,28.98,8.68,
2026-05-11,124.06,129.07,119.58,121.76,49835,611699886.0,0.79,29.66,0.95,
2026-05-12,121.01,123.27,118.77,119.79,28881,347430796.0,-1.62,17.19,-1.97,
2026-05-13,119.0,119.18,116.0,118.72,24602,289428212.0,-0.89,14.64,-1.07,
2026-05-14,119.5,122.96,115.0,115.0,27770,329044454.0,-3.13,16.53,-3.72,
2026-05-15,115.8,117.68,112.02,115.38,22570,258990698.0,0.33,13.43,0.38,
2026-05-18,115.5,120.2,114.81,119.65,25915,307344582.0,3.7,15.42,4.27,
2026-05-19,119.29,121.89,111.51,112.85,36458,421114966.0,-5.68,21.7,-6.8,
2026-05-20,110.0,114.95,108.5,113.64,23894,268707013.0,0.7,14.22,0.79,
2026-05-21,112.5,115.98,106.42,107.25,28677,321180158.0,-5.62,17.07,-6.39,
2026-05-22,108.0,113.0,107.2,111.18,21200,235732250.0,3.66,12.62,3.93,
2026-05-25,112.95,113.15,105.66,108.02,21566,233280779.0,-2.84,12.83,-3.16,
2026-05-26,107.45,107.45,102.8,106.36,16055,168519442.0,-1.54,9.56,-1.66,
2026-05-27,105.88,123.5,105.2,121.45,62628,738405184.0,14.19,37.27,15.09,
2026-05-28,120.63,130.0,119.49,126.6,57660,726203233.0,4.24,34.32,5.15,
2026-05-29,126.03,132.0,119.99,121.0,48865,615941478.4,-4.42,29.08,-5.6,
